Projeto,Arquivo,TagsOriginal,TagsGerado,PorgentagemNormal,TagsOriginalFormatado,TagsGeradoFormatado,PorcentagemFormatado
Virtual Pool,Header.js,46,24,52.17%,26,12,46.15%
Virtual Pool,sinuca.js,25,15,60.0%,15,8,53.33%
Virtual Pool,jogo.js,21,10,47.62%,11,5,45.45%
Virtual Pool,rdf.js,21,9,42.86%,11,5,45.45%
Virtual Pool,perfil.js,67,25,37.31%,35,13,37.14%
Virtual Pool,entrar.js,25,7,28.0%,13,4,30.77%
Virtual Pool,index.js,20,7,35.0%,11,4,36.36%
Virtual Pool,ranking.js,31,15,48.39%,16,8,50.0%
Virtual Pool,jogar.js,30,17,56.67%,18,9,50.0%
Média,Média,31.78,14.33,45.34%,17.33,7.56,43.85%
